# 计划 81 主状态清单；UTF-8 TSV。00—82 共82份文档，39不存在。
# columns: number, file, primary_state, g0_action, note
number	file	primary_state	g0_action	note
00	docs/开发文档/00-项目开工计划.md	REFERENCE	INDEX_ONLY	-
01	docs/开发文档/01-架构边界与模型接入决策.md	REFERENCE	INDEX_ONLY	-
02	docs/开发文档/02-依赖版本基线.md	REFERENCE	INDEX_ONLY	-
03	docs/开发文档/03-向量模型本地与云端方案.md	SUPERSEDED	INDEX_ONLY	early vector方案已明确替代
04	docs/开发文档/04-作家助手UI参考边界.md	REFERENCE	INDEX_ONLY	-
05	docs/开发文档/05-创作中心与建书向导产品规格.md	REFERENCE	INDEX_ONLY	-
06	docs/开发文档/06-总体架构与核心流程.md	REFERENCE	INDEX_ONLY	-
07	docs/开发文档/07-分阶段大纲生成与作品初始化产品规格.md	REFERENCE	INDEX_ONLY	-
08	docs/开发文档/08-阶段实施矩阵.md	CLOSED_PASS	INDEX_ONLY	-
09	docs/开发文档/09-创作工作台内容模型与关系图产品规格.md	REFERENCE	INDEX_ONLY	-
10	docs/开发文档/10-短篇创作与文本拆解产品规格.md	REFERENCE	INDEX_ONLY	-
11	docs/开发文档/11-QwenPaw-Docker验证环境.md	REFERENCE	INDEX_ONLY	-
12	docs/开发文档/12-QwenPaw原生UI盘点与小说工作台UI基线.md	REFERENCE	INDEX_ONLY	-
13	docs/开发文档/13-新项目初始化与兼容性验证.md	CLOSED_PASS	INDEX_ONLY	-
14	docs/开发文档/14-阶段3至6实现与验收.md	CLOSED_PASS	INDEX_ONLY	-
15	docs/开发文档/15-阶段7章节候选与情报提案闭环.md	CLOSED_PASS	INDEX_ONLY	-
16	docs/开发文档/16-妙笔神书一比一创作闭环与三书实写总目标计划.md	SUPERSEDED	APPLIED_TERMINAL_BANNER	旧总目标由后续权威与专项计划接管
17	docs/开发文档/17-妙笔神书一比一参考状态矩阵.md	SUPERSEDED	APPLIED_TERMINAL_BANNER	冻结矩阵保留为历史参考
